"Target","Indicator","Indicator Name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Education 2030 FFA","Education 2030 FFA","Government expenditure on education as a percentage of GDP (%)","4.39","4.34","4.41","4.32","4.63","4.32","4.30","4.45","3.36","",""
"1.a","1.a.2","Expenditure on education as a percentage of total government expenditure (%)","12.14","10.92","11.81","11.85","11.41","10.81","10.74","11.18","9.38","",""
"4.1","4.1.0","Proportion of children/young people at the age of lower secondary education prepared for the future in reading, male (%)","64.26","","","51.39","","","66.31","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of lower secondary education prepared for the future in reading, female (%)","77.47","","","61.24","","","75.67","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of lower secondary education prepared for the future in reading, both sexes (%)","71.16","","","56.48","","","71.06","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of lower secondary education prepared for the future in mathematics, both sexes (%)","","","","39.88","","","","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of primary education prepared for the future in mathematics, female (%)","","","","55.81","","","","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of primary education prepared for the future in mathematics, both sexes (%)","","","","56.63","","","","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of lower secondary education prepared for the future in mathematics, female (%)","","","","40.27","","","","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of lower secondary education prepared for the future in mathematics, male (%)","","","","39.53","","","","","","",""
"4.1","4.1.0","Proportion of children/young people at the age of primary education prepared for the future in mathematics, male (%)","","","","57.21","","","","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, very affluent socioeconomic background, both sexes (%)","91.69","","","75.92","","","88.36","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, male (%)","69.10","","","53.93","","","68.43","","","",""
"4.1","4.1.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, very poor socioeconomic background, both sexes (%)","66.99","","","47.44","","","62.96","","","",""
