,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures_mat,schoolsup,famsup,paid_mat,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_mat,G1_mat,G2_mat,G3_mat,failures_por,paid_por,absences_por,G1_por,G2_por,G3_por
0,GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2.0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0.0,7.0,4.0,0.0,,,,,,
1,GP,M,15,R,GT3,T,3,2,other,other,course,mother,2,2,2.0,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6.0,5.0,9.0,7.0,,,,,,
2,GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1.0,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0.0,7.0,0.0,0.0,,,,,,
3,GP,M,17,U,GT3,T,1,3,at_home,services,course,father,1,1,0.0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2.0,10.0,10.0,10.0,,,,,,
4,GP,M,16,U,GT3,T,3,2,services,services,course,mother,2,1,1.0,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,16.0,12.0,11.0,12.0,,,,,,
5,GP,F,18,U,LE3,T,2,1,services,at_home,reputation,mother,1,2,1.0,no,no,no,no,yes,yes,yes,yes,5,4,3,1,1,5,12.0,12.0,12.0,13.0,,,,,,
6,GP,M,19,U,GT3,T,3,3,other,other,home,other,1,2,1.0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,3,20.0,15.0,14.0,13.0,,,,,,
7,GP,F,18,U,GT3,T,2,4,services,at_home,reputation,other,1,2,1.0,no,yes,yes,yes,yes,yes,yes,no,4,4,3,1,1,3,8.0,14.0,12.0,12.0,,,,,,
8,GP,M,19,U,GT3,T,4,4,teacher,services,reputation,other,2,1,1.0,no,yes,yes,no,yes,yes,yes,yes,4,3,4,1,1,4,38.0,8.0,9.0,8.0,,,,,,
9,GP,F,19,U,LE3,T,1,1,at_home,other,reputation,other,1,2,1.0,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,3,3,18.0,12.0,10.0,10.0,,,,,,
