,school,sex,age,reason,traveltime,studytime,failures,activities,freetime,health,absences,Subject,Final_Score,ses_status,avg_alc,social_score_category
0,GP,F,18,course,2,2,0,no,3,3,6,1,6.0,Medium,1.0,Neutral
1,GP,F,17,course,1,2,0,no,3,3,4,1,5.0,Medium,1.0,Very Bad
2,GP,F,15,other,1,2,3,no,3,3,10,1,8.0,High,2.5,Very Bad
3,GP,F,15,home,1,3,0,yes,2,5,2,1,15.0,High,1.0,Very Bad
4,GP,F,16,home,1,2,0,no,3,5,4,1,9.0,Medium,1.5,Very Bad
5,GP,M,16,reputation,1,2,0,yes,4,5,10,1,15.0,High,1.5,Very Bad
6,GP,M,16,home,1,2,0,no,4,3,0,1,12.0,Medium,1.0,Neutral
7,GP,F,17,home,2,2,0,no,1,1,6,1,6.0,Medium,1.0,Neutral
8,GP,M,15,home,1,2,0,no,2,1,0,1,18.0,High,1.0,Very Bad
9,GP,M,15,home,1,2,0,yes,5,5,0,1,15.0,Medium,1.0,Very Bad
10,GP,F,15,reputation,1,2,0,no,3,2,0,1,9.0,High,1.5,Very Bad
11,GP,F,15,reputation,3,3,0,yes,2,4,4,1,11.0,Medium,1.0,Very Bad
12,GP,M,15,course,1,1,0,yes,3,5,2,1,14.0,High,2.0,Very Bad
13,GP,M,15,course,2,2,0,no,4,3,2,1,10.0,High,1.5,Very Bad
14,GP,M,15,home,1,3,0,no,5,3,0,1,15.0,Medium,1.0,Very Bad
15,GP,F,16,home,1,1,0,no,4,2,4,1,14.0,Medium,1.5,Neutral
16,GP,F,16,reputation,1,3,0,yes,2,2,6,1,14.0,High,1.5,Very Bad
17,GP,F,16,reputation,3,2,0,yes,3,4,4,1,9.0,Medium,1.0,Very Bad
18,GP,M,17,course,1,1,3,yes,5,5,16,1,5.0,High,3.0,Neutral
19,GP,M,16,home,1,1,0,yes,1,5,4,1,9.0,High,2.0,Very Bad
20,GP,M,15,reputation,1,2,0,no,4,1,0,1,14.0,Medium,1.0,Very Bad
21,GP,M,15,other,1,1,0,no,4,5,0,1,14.0,High,1.0,Very Bad
22,GP,M,16,course,1,2,0,yes,5,5,2,1,15.0,Medium,2.0,Very Bad
23,GP,M,16,reputation,2,2,0,yes,4,5,0,1,13.0,Medium,3.0,Neutral
24,GP,F,15,course,1,3,0,yes,3,5,2,1,9.0,High,1.0,Very Bad
25,GP,F,16,home,1,1,2,no,2,5,14,1,8.0,High,2.0,Very Bad
26,GP,M,15,home,1,1,0,no,2,5,2,1,12.0,Medium,1.5,Very Bad
